"filename", "language", "HTML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AeditPrima.jsp", "HTML", 35, 0, 0, 0, 0, 5, 40
"c:\Users\intel PC\Desktop\PYMEURBAN\web\AeditProducto.jsp", "HTML", 82, 0, 0, 0, 0, 15, 97
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Aeditdiseño.jsp", "HTML", 32, 0, 0, 0, 0, 9, 41
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Aeditmarca.jsp", "HTML", 32, 0, 0, 0, 0, 7, 39
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Aeditproduccion.jsp", "HTML", 50, 0, 0, 0, 0, 8, 58
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Aeditproveedor.jsp", "HTML", 33, 0, 0, 0, 0, 6, 39
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Amarca.jsp", "HTML", 131, 0, 0, 0, 5, 41, 177
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Aproductos.jsp", "HTML", 112, 0, 0, 0, 5, 6, 123
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Aproveedor.jsp", "HTML", 146, 0, 0, 0, 3, 31, 180
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ArchivosPDF.jsp", "HTML", 142, 0, 0, 0, 4, 39, 185
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Aticketcompra.jsp", "HTML", 84, 0, 0, 0, 2, 32, 118
"c:\Users\intel PC\Desktop\PYMEURBAN\web\BienvenidoAdmin.jsp", "HTML", 15, 0, 0, 0, 2, 10, 27
"c:\Users\intel PC\Desktop\PYMEURBAN\web\BienvenidoAlmacen.jsp", "HTML", 43, 0, 0, 0, 2, 12, 57
"c:\Users\intel PC\Desktop\PYMEURBAN\web\BienvenidoProduccion.jsp", "HTML", 43, 0, 0, 0, 2, 10, 55
"c:\Users\intel PC\Desktop\PYMEURBAN\web\BienvenidoVentas.jsp", "HTML", 43, 0, 0, 0, 2, 11, 56
"c:\Users\intel PC\Desktop\PYMEURBAN\web\DetalleV.jsp", "HTML", 172, 0, 0, 0, 0, 34, 206
"c:\Users\intel PC\Desktop\PYMEURBAN\web\DetalleVenta.jsp", "HTML", 172, 0, 0, 0, 2, 40, 214
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Detalle_Compra.jsp", "HTML", 163, 0, 0, 0, 2, 39, 204
"c:\Users\intel PC\Desktop\PYMEURBAN\web\FrmAdmin.jsp", "HTML", 400, 0, 0, 0, 16, 31, 447
"c:\Users\intel PC\Desktop\PYMEURBAN\web\FrmAlmacen.jsp", "HTML", 285, 0, 0, 0, 11, 18, 314
"c:\Users\intel PC\Desktop\PYMEURBAN\web\FrmProduccion.jsp", "HTML", 148, 0, 0, 0, 6, 16, 170
"c:\Users\intel PC\Desktop\PYMEURBAN\web\FrmVenta.jsp", "HTML", 139, 0, 0, 0, 6, 15, 160
"c:\Users\intel PC\Desktop\PYMEURBAN\web\PPedidoPrima.jsp", "HTML", 169, 0, 0, 0, 5, 40, 214
"c:\Users\intel PC\Desktop\PYMEURBAN\web\PProdu.jsp", "HTML", 167, 0, 0, 0, 5, 40, 212
"c:\Users\intel PC\Desktop\PYMEURBAN\web\PReportePedidoPrima.jsp", "HTML", 95, 0, 0, 0, 2, 24, 121
"c:\Users\intel PC\Desktop\PYMEURBAN\web\PReportePrima.jsp", "HTML", 94, 0, 0, 0, 2, 26, 122
"c:\Users\intel PC\Desktop\PYMEURBAN\web\PReporteProduccion.jsp", "HTML", 93, 0, 0, 0, 2, 24, 119
"c:\Users\intel PC\Desktop\PYMEURBAN\web\PReporteProducto.jsp", "HTML", 102, 0, 0, 0, 2, 23, 127
"c:\Users\intel PC\Desktop\PYMEURBAN\web\PeditProduccion.jsp", "HTML", 50, 0, 0, 0, 0, 8, 58
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Peditpedidoprima.jsp", "HTML", 50, 0, 0, 0, 0, 8, 58
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReporteCategoria.jsp", "HTML", 93, 0, 0, 0, 3, 24, 120
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReporteCliente.jsp", "HTML", 71, 0, 0, 0, 2, 20, 93
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReporteCompra.jsp", "HTML", 96, 0, 0, 0, 2, 26, 124
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReporteDiseño.jsp", "HTML", 96, 0, 0, 0, 3, 31, 130
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReporteEmpleado.jsp", "HTML", 74, 0, 0, 0, 2, 24, 100
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReporteMarca.jsp", "HTML", 92, 0, 0, 0, 3, 30, 125
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReportePedidoPrima.jsp", "HTML", 95, 0, 0, 0, 2, 24, 121
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReportePrima.jsp", "HTML", 94, 0, 0, 0, 2, 25, 121
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReporteProduccion.jsp", "HTML", 93, 0, 0, 0, 2, 23, 118
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReporteProducto.jsp", "HTML", 106, 0, 0, 0, 2, 22, 130
"c:\Users\intel PC\Desktop\PYMEURBAN\web\ReporteVentas.jsp", "HTML", 100, 0, 0, 0, 2, 31, 133
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Reporteusuario.jsp", "HTML", 71, 0, 0, 0, 2, 22, 95
"c:\Users\intel PC\Desktop\PYMEURBAN\web\VReporteCliente.jsp", "HTML", 71, 0, 0, 0, 2, 20, 93
"c:\Users\intel PC\Desktop\PYMEURBAN\web\VReporteProducto.jsp", "HTML", 102, 0, 0, 0, 2, 24, 128
"c:\Users\intel PC\Desktop\PYMEURBAN\web\VReporteVentas.jsp", "HTML", 100, 0, 0, 0, 2, 31, 133
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Vclientes.jsp", "HTML", 137, 0, 0, 0, 3, 29, 169
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Vdetalle_venta.jsp", "HTML", 173, 0, 0, 0, 2, 40, 215
"c:\Users\intel PC\Desktop\PYMEURBAN\web\VeditCliente.jsp", "HTML", 44, 0, 0, 0, 0, 6, 50
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Vticketventa.jsp", "HTML", 106, 0, 0, 0, 2, 36, 144
"c:\Users\intel PC\Desktop\PYMEURBAN\web\Vventas.jsp", "HTML", 172, 0, 0, 0, 2, 39, 213
"c:\Users\intel PC\Desktop\PYMEURBAN\web\WEB-INF\glassfish-web.xml", "XML", 0, 0, 10, 0, 15, 1, 26
"c:\Users\intel PC\Desktop\PYMEURBAN\web\WEB-INF\web.xml", "XML", 0, 0, 256, 0, 0, 1, 257
"c:\Users\intel PC\Desktop\PYMEURBAN\web\categoria.jsp", "HTML", 131, 0, 0, 0, 5, 41, 177
"c:\Users\intel PC\Desktop\PYMEURBAN\web\clientes.jsp", "HTML", 137, 0, 0, 0, 3, 30, 170
"c:\Users\intel PC\Desktop\PYMEURBAN\web\compra.jsp", "HTML", 171, 0, 0, 0, 2, 40, 213
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css-js.jsp", "HTML", 62, 0, 0, 0, 1, 21, 84
